
Gurobi 10.0.1 (win64) logging started Sat Dec 30 20:14:56 2023

Set parameter LogFile to value "outputs/THESIS/symmetry1/ratio/s1_5_nodes.txt"

Gurobi 10.0.1 (win64) logging started Sat Dec 30 20:15:28 2023

Set parameter LogFile to value "outputs/THESIS/symmetry1/ratio/s1_5_nodes.txt"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: AMD Ryzen 7 5700U with Radeon Graphics, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Optimize a model with 2234238 rows, 1226484 columns and 7883208 nonzeros
Model fingerprint: 0xec2c9163
Coefficient statistics:
  Matrix range     [1e-04, 7e+04]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 7e+04]
  RHS range        [1e+03, 7e+04]
Presolve removed 238763 rows and 79588 columns
Presolve time: 5.06s
Presolved: 1995475 rows, 1146896 columns, 6378086 nonzeros

Elapsed ordering time = 8s
Elapsed ordering time = 10s
Ordering time: 24.64s

Barrier statistics:
 Dense cols : 80
 AA' NZ     : 1.067e+07
 Factor NZ  : 6.856e+07 (roughly 2.0 GB of memory)
 Factor Ops : 1.196e+10 (less than 1 second per iteration)
 Threads    : 8

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   2.30637134e+10 -1.71786110e+11  6.69e+04 3.75e+00  1.34e+06    33s
  53   5.27372259e+07  4.98740422e+07  1.54e-07 4.31e-06  8.19e-01   126s
  54   5.25970658e+07  4.99778965e+07  3.96e-07 3.83e-06  7.49e-01   128s
  55   5.25201819e+07  5.00619364e+07  4.19e-07 3.44e-06  7.03e-01   130s
  56   5.23195887e+07  5.01269884e+07  4.37e-07 3.08e-06  6.27e-01   132s
  57   5.22410778e+07  5.01548788e+07  4.71e-07 2.95e-06  5.96e-01   134s
  58   5.20541823e+07  5.01910314e+07  3.72e-07 2.76e-06  5.33e-01   136s
  59   5.19097577e+07  5.02462094e+07  7.55e-07 2.50e-06  4.76e-01   138s
  60   5.17927240e+07  5.02974185e+07  7.02e-07 2.23e-06  4.27e-01   140s
  61   5.17421008e+07  5.03517211e+07  6.38e-07 1.97e-06  3.97e-01   142s
  62   5.17127774e+07  5.03748774e+07  6.15e-07 1.86e-06  3.82e-01   144s
  63   5.16251821e+07  5.04037796e+07  8.40e-07 1.73e-06  3.49e-01   145s
  64   5.15598346e+07  5.04352579e+07  8.47e-07 1.57e-06  3.21e-01   147s
  65   5.14768816e+07  5.04471286e+07  6.07e-07 1.51e-06  2.94e-01   149s
  66   5.14364350e+07  5.04842514e+07  5.77e-07 1.33e-06  2.72e-01   151s
  67   5.13957243e+07  5.05100268e+07  5.18e-07 1.21e-06  2.53e-01   153s
  68   5.13565016e+07  5.05233037e+07  4.90e-07 1.14e-06  2.38e-01   155s
  69   5.13127437e+07  5.05506284e+07  4.57e-07 1.01e-06  2.18e-01   157s
  70   5.12606270e+07  5.05833391e+07  4.54e-07 8.49e-07  1.93e-01   159s
  71   5.12406314e+07  5.05875441e+07  4.07e-07 8.25e-07  1.87e-01   161s
  72   5.12033259e+07  5.06063978e+07  3.83e-07 7.18e-07  1.71e-01   163s
  73   5.11552756e+07  5.06220308e+07  3.91e-07 6.32e-07  1.52e-01   165s
  74   5.11221954e+07  5.06463333e+07  4.26e-07 5.18e-07  1.36e-01   167s
  75   5.10890761e+07  5.06556192e+07  3.79e-07 4.74e-07  1.24e-01   169s
  76   5.10650161e+07  5.06675493e+07  4.79e-07 4.18e-07  1.13e-01   171s
  77   5.10475714e+07  5.06766603e+07  3.58e-07 3.75e-07  1.06e-01   173s
  78   5.10067471e+07  5.06859308e+07  4.20e-07 3.31e-07  9.16e-02   174s
  79   5.09940110e+07  5.06931243e+07  5.53e-07 2.97e-07  8.59e-02   176s
  80   5.09664547e+07  5.07018707e+07  1.03e-06 2.47e-07  7.55e-02   178s
  81   5.09282199e+07  5.07090121e+07  8.59e-07 2.09e-07  6.26e-02   180s
  82   5.09181869e+07  5.07165035e+07  7.23e-07 1.75e-07  5.76e-02   182s
  83   5.09015526e+07  5.07182807e+07  3.86e-06 1.65e-07  5.23e-02   184s
  84   5.08776403e+07  5.07275845e+07  3.62e-06 1.23e-07  4.28e-02   186s
  85   5.08672568e+07  5.07312330e+07  1.92e-06 1.07e-07  3.88e-02   188s
  86   5.08600748e+07  5.07340792e+07  1.80e-06 9.43e-08  3.60e-02   190s
  87   5.08531704e+07  5.07349015e+07  1.69e-06 9.08e-08  3.37e-02   193s
  88   5.08483058e+07  5.07370819e+07  1.60e-06 8.11e-08  3.17e-02   195s
  89   5.08351587e+07  5.07386820e+07  9.63e-07 7.24e-08  2.75e-02   198s
  90   5.08295829e+07  5.07404514e+07  7.79e-07 6.48e-08  2.54e-02   200s
  91   5.08244839e+07  5.07422053e+07  1.14e-06 5.75e-08  2.35e-02   203s
  92   5.08204817e+07  5.07436515e+07  1.08e-06 5.15e-08  2.19e-02   205s
  93   5.08150321e+07  5.07448468e+07  9.88e-07 4.67e-08  2.00e-02   208s
  94   5.08117561e+07  5.07462245e+07  9.39e-07 4.07e-08  1.87e-02   211s
  95   5.08060158e+07  5.07476002e+07  1.29e-06 3.32e-08  1.67e-02   213s
  96   5.07993519e+07  5.07484151e+07  1.38e-06 2.99e-08  1.45e-02   216s
  97   5.07965842e+07  5.07488658e+07  1.29e-06 2.82e-08  1.36e-02   218s
  98   5.07934311e+07  5.07491773e+07  1.23e-06 2.65e-08  1.26e-02   221s
  99   5.07892832e+07  5.07503692e+07  1.27e-06 2.18e-08  1.11e-02   223s
 100   5.07869817e+07  5.07505506e+07  1.18e-06 2.11e-08  1.04e-02   225s
 101   5.07840448e+07  5.07513975e+07  1.10e-06 1.77e-08  9.31e-03   228s
 102   5.07823732e+07  5.07516092e+07  1.04e-06 1.66e-08  8.77e-03   230s
 103   5.07797343e+07  5.07524181e+07  9.35e-07 1.23e-08  7.79e-03   233s
 104   5.07776448e+07  5.07529326e+07  8.60e-07 1.04e-08  7.05e-03   235s
 105   5.07740333e+07  5.07533466e+07  7.17e-07 7.53e-09  5.90e-03   238s
 106   5.07724205e+07  5.07535139e+07  6.54e-07 7.02e-09  5.39e-03   241s
 107   5.07706924e+07  5.07537356e+07  5.91e-07 6.37e-09  4.84e-03   244s
 108   5.07699485e+07  5.07538735e+07  5.63e-07 5.95e-09  4.58e-03   246s
 109   5.07681044e+07  5.07540911e+07  4.93e-07 5.03e-09  4.00e-03   249s
 110   5.07668498e+07  5.07542160e+07  4.44e-07 4.51e-09  3.60e-03   252s
 111   5.07661138e+07  5.07543205e+07  4.15e-07 4.09e-09  3.36e-03   255s
 112   5.07652889e+07  5.07546573e+07  3.82e-07 3.19e-09  3.03e-03   258s
 113   5.07637827e+07  5.07548428e+07  3.24e-07 2.41e-09  2.55e-03   261s
 114   5.07613971e+07  5.07550796e+07  2.25e-07 1.54e-09  1.80e-03   264s
 115   5.07609331e+07  5.07551753e+07  2.08e-07 1.23e-09  1.64e-03   267s
 116   5.07598863e+07  5.07552285e+07  1.67e-07 1.13e-09  1.33e-03   269s
 117   5.07587803e+07  5.07553199e+07  1.24e-07 8.69e-10  9.87e-04   272s
 118   5.07582450e+07  5.07554636e+07  1.01e-07 5.29e-10  7.93e-04   275s
 119   5.07576932e+07  5.07555647e+07  7.83e-08 2.90e-10  6.07e-04   278s
 120   5.07572776e+07  5.07557031e+07  6.00e-08 3.12e-11  4.49e-04   280s
 121   5.07571260e+07  5.07557247e+07  5.40e-08 2.61e-11  3.99e-04   283s
 122   5.07563133e+07  5.07558145e+07  1.82e-08 5.84e-15  1.42e-04   286s
 123   5.07561489e+07  5.07558286e+07  1.20e-08 5.09e-15  9.13e-05   289s
 124   5.07559103e+07  5.07558596e+07  1.61e-09 2.03e-14  1.45e-05   291s
 125   5.07558826e+07  5.07558698e+07  4.60e-10 1.04e-11  3.64e-06   293s
 126   5.07558727e+07  5.07558702e+07  8.91e-11 4.40e-12  7.38e-07   295s
 127   5.07558704e+07  5.07558703e+07  5.54e-10 4.81e-11  1.69e-08   296s
 128   5.07558703e+07  5.07558703e+07  6.68e-10 5.15e-11  3.47e-12   298s

Barrier solved model in 128 iterations and 297.73 seconds (222.54 work units)
Optimal objective 5.07558703e+07

Crossover log...

  374194 DPushes remaining with DInf 0.0000000e+00               299s
   52510 DPushes remaining with DInf 0.0000000e+00               301s
       0 DPushes remaining with DInf 0.0000000e+00               303s

  101504 PPushes remaining with PInf 0.0000000e+00               303s
   13852 PPushes remaining with PInf 0.0000000e+00               305s
       0 PPushes remaining with PInf 0.0000000e+00               308s

  Push phase complete: Pinf 0.0000000e+00, Dinf 2.9713386e-11    308s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  281880    5.0755870e+07   0.000000e+00   0.000000e+00    310s

Solved in 281880 iterations and 309.80 seconds (233.96 work units)
Optimal objective  5.075587034e+07

User-callback calls 492422, time in user-callback 0.09 sec

Gurobi 10.0.1 (win64) logging started Sat Dec 30 20:38:10 2023

Set parameter LogFile to value "outputs/THESIS/symmetry1/ratio/s1_5_nodes.txt"

Gurobi 10.0.1 (win64) logging started Sat Dec 30 20:38:30 2023

Set parameter LogFile to value "outputs/THESIS/symmetry1/ratio/s1_5_nodes.txt"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: AMD Ryzen 7 5700U with Radeon Graphics, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Optimize a model with 2234238 rows, 1226484 columns and 7883208 nonzeros
Model fingerprint: 0xec2c9163
Coefficient statistics:
  Matrix range     [1e-04, 7e+04]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 7e+04]
  RHS range        [1e+03, 7e+04]
Presolve removed 238763 rows and 79588 columns
Presolve time: 6.02s
Presolved: 1995475 rows, 1146896 columns, 6378086 nonzeros

Elapsed ordering time = 8s
Elapsed ordering time = 10s
Ordering time: 24.77s

Barrier statistics:
 Dense cols : 80
 AA' NZ     : 1.067e+07
 Factor NZ  : 6.856e+07 (roughly 2.0 GB of memory)
 Factor Ops : 1.196e+10 (roughly 1 second per iteration)
 Threads    : 8

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   2.30637134e+10 -1.71786110e+11  6.69e+04 3.75e+00  1.34e+06    34s
   1   5.23220719e+09 -1.64602742e+11  1.77e+04 2.66e+01  3.53e+05    35s
   2   2.36518248e+09 -7.72890614e+10  7.49e+02 1.31e+00  3.58e+04    36s
   3   1.77456467e+09 -5.27057047e+09  4.00e-11 6.59e-02  2.46e+03    38s
   4   7.82940788e+08 -5.98994493e+08  1.20e-10 7.85e-03  4.29e+02    39s
   5   5.50283639e+08 -2.96671479e+08  7.82e-11 2.71e-03  2.55e+02    40s
   6   4.14094313e+08 -2.15618382e+08  1.23e-09 2.35e-03  1.88e+02    42s
   7   3.10237935e+08 -1.55861618e+08  8.46e-10 1.87e-03  1.38e+02    43s
   8   2.87249489e+08 -1.19168213e+08  7.71e-10 1.51e-03  1.20e+02    45s
   9   2.36696730e+08 -6.93915302e+07  6.00e-10 9.94e-04  8.94e+01    46s
  10   2.00932745e+08 -3.99431952e+07  1.14e-09 6.90e-04  7.00e+01    48s
  11   1.70146603e+08 -1.60278588e+07  8.59e-10 4.46e-04  5.39e+01    50s
  12   1.49424423e+08 -7.21259273e+05  7.31e-10 2.98e-04  4.34e+01    52s
  13   1.19927929e+08  4.91850767e+06  1.68e-09 2.38e-04  3.32e+01    53s
  14   1.09494973e+08  1.41450197e+07  1.38e-09 1.62e-04  2.75e+01    55s
  15   1.00546512e+08  2.06056061e+07  2.92e-09 1.16e-04  2.30e+01    57s
  16   9.18458456e+07  2.28410907e+07  3.84e-09 1.07e-04  1.98e+01    59s
  17   8.51343614e+07  2.89380023e+07  5.41e-09 8.76e-05  1.61e+01    61s
  18   7.87814670e+07  3.35608386e+07  3.99e-09 7.23e-05  1.30e+01    63s
  19   7.56423728e+07  3.49470113e+07  4.09e-09 6.74e-05  1.17e+01    65s
  20   7.29873958e+07  3.59665091e+07  3.95e-09 6.29e-05  1.06e+01    67s
  21   7.17344120e+07  3.78522023e+07  4.48e-09 5.59e-05  9.71e+00    69s
  22   6.86312986e+07  3.87894771e+07  4.99e-09 5.16e-05  8.56e+00    71s
  23   6.74057502e+07  3.99361094e+07  5.30e-09 4.72e-05  7.87e+00    73s
  24   6.61729801e+07  4.12490102e+07  4.65e-09 4.19e-05  7.14e+00    75s
  25   6.48818783e+07  4.20504761e+07  5.38e-09 3.86e-05  6.54e+00    77s
  26   6.35698447e+07  4.34175250e+07  9.19e-09 3.29e-05  5.77e+00    78s
  27   6.24734373e+07  4.39404377e+07  1.14e-08 3.03e-05  5.31e+00    80s
  28   6.10537627e+07  4.45718578e+07  2.35e-08 2.77e-05  4.72e+00    82s
  29   6.04691334e+07  4.51884354e+07  1.80e-08 2.50e-05  4.37e+00    84s
  30   5.92709664e+07  4.53813280e+07  1.87e-08 2.41e-05  3.98e+00    86s
  31   5.87856408e+07  4.60434734e+07  2.00e-08 2.12e-05  3.65e+00    88s
  32   5.82188675e+07  4.63973096e+07  6.05e-08 1.96e-05  3.38e+00    90s
  33   5.75698529e+07  4.67997103e+07  3.19e-08 1.80e-05  3.08e+00    92s
  34   5.68738695e+07  4.71395454e+07  1.07e-07 1.65e-05  2.79e+00    94s
  35   5.64251414e+07  4.76113538e+07  1.08e-07 1.45e-05  2.52e+00    96s
  36   5.62158864e+07  4.77032348e+07  9.60e-08 1.41e-05  2.44e+00    97s
  37   5.60161888e+07  4.77944346e+07  7.53e-08 1.37e-05  2.35e+00    99s
  38   5.55893239e+07  4.79099169e+07  1.09e-07 1.32e-05  2.20e+00   101s
  39   5.54049432e+07  4.82008063e+07  7.93e-08 1.19e-05  2.06e+00   103s
  40   5.50813725e+07  4.83972242e+07  6.49e-08 1.10e-05  1.91e+00   104s
  41   5.48524371e+07  4.85184252e+07  6.29e-08 1.04e-05  1.81e+00   106s
  42   5.45932517e+07  4.86718592e+07  6.61e-08 9.77e-06  1.69e+00   108s
  43   5.43628972e+07  4.88459760e+07  2.33e-07 9.01e-06  1.58e+00   110s
  44   5.41915234e+07  4.89422222e+07  1.97e-07 8.59e-06  1.50e+00   112s
  45   5.40881383e+07  4.90198547e+07  1.87e-07 8.25e-06  1.45e+00   113s
  46   5.38178742e+07  4.91764679e+07  1.74e-07 7.53e-06  1.33e+00   115s
  47   5.36277957e+07  4.93291899e+07  1.64e-07 6.84e-06  1.23e+00   117s
  48   5.33763541e+07  4.94483539e+07  1.51e-07 6.29e-06  1.12e+00   119s
  49   5.31630390e+07  4.95396780e+07  1.42e-07 5.86e-06  1.04e+00   121s
  50   5.31304670e+07  4.95855916e+07  1.40e-07 5.64e-06  1.01e+00   123s
  51   5.29543799e+07  4.96821854e+07  1.29e-07 5.19e-06  9.36e-01   124s
  52   5.28544803e+07  4.97791042e+07  1.47e-07 4.75e-06  8.79e-01   126s
  53   5.27372259e+07  4.98740422e+07  1.54e-07 4.31e-06  8.19e-01   128s
  54   5.25970658e+07  4.99778965e+07  3.96e-07 3.83e-06  7.49e-01   130s
  55   5.25201819e+07  5.00619364e+07  4.19e-07 3.44e-06  7.03e-01   132s
  56   5.23195887e+07  5.01269884e+07  4.37e-07 3.08e-06  6.27e-01   134s
  57   5.22410778e+07  5.01548788e+07  4.71e-07 2.95e-06  5.96e-01   136s
  58   5.20541823e+07  5.01910314e+07  3.72e-07 2.76e-06  5.33e-01   138s
  59   5.19097577e+07  5.02462094e+07  7.55e-07 2.50e-06  4.76e-01   140s
  60   5.17927240e+07  5.02974185e+07  7.02e-07 2.23e-06  4.27e-01   142s
  61   5.17421008e+07  5.03517211e+07  6.38e-07 1.97e-06  3.97e-01   143s
  62   5.17127774e+07  5.03748774e+07  6.15e-07 1.86e-06  3.82e-01   145s
  63   5.16251821e+07  5.04037796e+07  8.40e-07 1.73e-06  3.49e-01   147s
  64   5.15598346e+07  5.04352579e+07  8.47e-07 1.57e-06  3.21e-01   149s
  65   5.14768816e+07  5.04471286e+07  6.07e-07 1.51e-06  2.94e-01   151s
  66   5.14364350e+07  5.04842514e+07  5.77e-07 1.33e-06  2.72e-01   153s
  67   5.13957243e+07  5.05100268e+07  5.18e-07 1.21e-06  2.53e-01   155s
  68   5.13565016e+07  5.05233037e+07  4.90e-07 1.14e-06  2.38e-01   157s
  69   5.13127437e+07  5.05506284e+07  4.57e-07 1.01e-06  2.18e-01   159s
  70   5.12606270e+07  5.05833391e+07  4.54e-07 8.49e-07  1.93e-01   161s
  71   5.12406314e+07  5.05875441e+07  4.07e-07 8.25e-07  1.87e-01   163s
  72   5.12033259e+07  5.06063978e+07  3.83e-07 7.18e-07  1.71e-01   164s
  73   5.11552756e+07  5.06220308e+07  3.91e-07 6.32e-07  1.52e-01   166s
  74   5.11221954e+07  5.06463333e+07  4.26e-07 5.18e-07  1.36e-01   168s
  75   5.10890761e+07  5.06556192e+07  3.79e-07 4.74e-07  1.24e-01   170s
  76   5.10650161e+07  5.06675493e+07  4.79e-07 4.18e-07  1.13e-01   172s
  77   5.10475714e+07  5.06766603e+07  3.58e-07 3.75e-07  1.06e-01   174s
  78   5.10067471e+07  5.06859308e+07  4.20e-07 3.31e-07  9.16e-02   176s
  79   5.09940110e+07  5.06931243e+07  5.53e-07 2.97e-07  8.59e-02   178s
  80   5.09664547e+07  5.07018707e+07  1.03e-06 2.47e-07  7.55e-02   180s
  81   5.09282199e+07  5.07090121e+07  8.59e-07 2.09e-07  6.26e-02   182s
  82   5.09181869e+07  5.07165035e+07  7.23e-07 1.75e-07  5.76e-02   184s
  83   5.09015526e+07  5.07182807e+07  3.86e-06 1.65e-07  5.23e-02   186s
  84   5.08776403e+07  5.07275845e+07  3.62e-06 1.23e-07  4.28e-02   188s
  85   5.08672568e+07  5.07312330e+07  1.92e-06 1.07e-07  3.88e-02   190s
  86   5.08600748e+07  5.07340792e+07  1.80e-06 9.43e-08  3.60e-02   192s
  87   5.08531704e+07  5.07349015e+07  1.69e-06 9.08e-08  3.37e-02   194s
  88   5.08483058e+07  5.07370819e+07  1.60e-06 8.11e-08  3.17e-02   197s
  89   5.08351587e+07  5.07386820e+07  9.63e-07 7.24e-08  2.75e-02   199s
  90   5.08295829e+07  5.07404514e+07  7.79e-07 6.48e-08  2.54e-02   202s
  91   5.08244839e+07  5.07422053e+07  1.14e-06 5.75e-08  2.35e-02   204s
  92   5.08204817e+07  5.07436515e+07  1.08e-06 5.15e-08  2.19e-02   207s
  93   5.08150321e+07  5.07448468e+07  9.88e-07 4.67e-08  2.00e-02   210s
  94   5.08117561e+07  5.07462245e+07  9.39e-07 4.07e-08  1.87e-02   213s
  95   5.08060158e+07  5.07476002e+07  1.29e-06 3.32e-08  1.67e-02   215s
  96   5.07993519e+07  5.07484151e+07  1.38e-06 2.99e-08  1.45e-02   218s
  97   5.07965842e+07  5.07488658e+07  1.29e-06 2.82e-08  1.36e-02   220s
  98   5.07934311e+07  5.07491773e+07  1.23e-06 2.65e-08  1.26e-02   222s
  99   5.07892832e+07  5.07503692e+07  1.27e-06 2.18e-08  1.11e-02   225s
 100   5.07869817e+07  5.07505506e+07  1.18e-06 2.11e-08  1.04e-02   227s
 101   5.07840448e+07  5.07513975e+07  1.10e-06 1.77e-08  9.31e-03   229s
 102   5.07823732e+07  5.07516092e+07  1.04e-06 1.66e-08  8.77e-03   232s
 103   5.07797343e+07  5.07524181e+07  9.35e-07 1.23e-08  7.79e-03   234s
 104   5.07776448e+07  5.07529326e+07  8.60e-07 1.04e-08  7.05e-03   237s
 105   5.07740333e+07  5.07533466e+07  7.17e-07 7.53e-09  5.90e-03   240s
 106   5.07724205e+07  5.07535139e+07  6.54e-07 7.02e-09  5.39e-03   242s
 107   5.07706924e+07  5.07537356e+07  5.91e-07 6.37e-09  4.84e-03   245s
 108   5.07699485e+07  5.07538735e+07  5.63e-07 5.95e-09  4.58e-03   248s
 109   5.07681044e+07  5.07540911e+07  4.93e-07 5.03e-09  4.00e-03   251s
 110   5.07668498e+07  5.07542160e+07  4.44e-07 4.51e-09  3.60e-03   254s
 111   5.07661138e+07  5.07543205e+07  4.15e-07 4.09e-09  3.36e-03   257s
 112   5.07652889e+07  5.07546573e+07  3.82e-07 3.19e-09  3.03e-03   260s
 113   5.07637827e+07  5.07548428e+07  3.24e-07 2.41e-09  2.55e-03   263s
 114   5.07613971e+07  5.07550796e+07  2.25e-07 1.54e-09  1.80e-03   265s
 115   5.07609331e+07  5.07551753e+07  2.08e-07 1.23e-09  1.64e-03   268s
 116   5.07598863e+07  5.07552285e+07  1.67e-07 1.13e-09  1.33e-03   271s
 117   5.07587803e+07  5.07553199e+07  1.24e-07 8.69e-10  9.87e-04   274s
 118   5.07582450e+07  5.07554636e+07  1.01e-07 5.29e-10  7.93e-04   277s
 119   5.07576932e+07  5.07555647e+07  7.83e-08 2.90e-10  6.07e-04   280s
 120   5.07572776e+07  5.07557031e+07  6.00e-08 3.12e-11  4.49e-04   282s
 121   5.07571260e+07  5.07557247e+07  5.40e-08 2.61e-11  3.99e-04   285s
 122   5.07563133e+07  5.07558145e+07  1.82e-08 5.84e-15  1.42e-04   288s
 123   5.07561489e+07  5.07558286e+07  1.20e-08 5.09e-15  9.13e-05   291s
 124   5.07559103e+07  5.07558596e+07  1.61e-09 2.03e-14  1.45e-05   293s
 125   5.07558826e+07  5.07558698e+07  4.60e-10 1.04e-11  3.64e-06   295s
 126   5.07558727e+07  5.07558702e+07  8.91e-11 4.40e-12  7.38e-07   297s
 127   5.07558704e+07  5.07558703e+07  5.54e-10 4.81e-11  1.69e-08   299s
 128   5.07558703e+07  5.07558703e+07  6.68e-10 5.15e-11  3.47e-12   300s

Barrier solved model in 128 iterations and 300.31 seconds (222.54 work units)
Optimal objective 5.07558703e+07

Crossover log...

  374194 DPushes remaining with DInf 0.0000000e+00               302s
      12 DPushes remaining with DInf 0.0000000e+00               306s
       0 DPushes remaining with DInf 0.0000000e+00               306s

  101504 PPushes remaining with PInf 0.0000000e+00               306s
    5469 PPushes remaining with PInf 0.0000000e+00               310s
       0 PPushes remaining with PInf 0.0000000e+00               312s

  Push phase complete: Pinf 0.0000000e+00, Dinf 2.9713386e-11    312s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  281880    5.0755870e+07   0.000000e+00   0.000000e+00    315s

Solved in 281880 iterations and 314.85 seconds (233.96 work units)
Optimal objective  5.075587034e+07

User-callback calls 492501, time in user-callback 0.15 sec
